"CustomerID","DOB","gender","MaritalStatus","Familysize"
"C21116","1973-11-21","M","Yes",4
"C21117","1985-03-12","M","Yes",3
"C21118","1978-12-27","M","Yes",4
"C21119","1998-09-21","M","Yes",3
"C21120","1943-03-08","M","Yes",4
"C21121","1985-10-15","M","Yes",4
"C21122","1951-04-10","F","Yes",4
"C21123","1957-06-03","F","Yes",4
"C21124","1953-03-04","F","Yes",4
"C21125","1984-04-07","F","Yes",4
"C21126","1943-10-03","M","Yes",4
"C21127","1997-04-27","M","Yes",3
"C21128","1973-09-12","F","Yes",4
"C21129","1993-11-17","M","Yes",3
"C21130","1965-12-05","F","Yes",4
"C21131","1987-01-06","M","Yes",4
"C21132","1956-07-04","M","Yes",4
"C21133","1998-03-24","F","Yes",2
"C21134","1973-08-12","M","Yes",4
"C21135","1976-07-15","M","Yes",4
"C21136","1933-07-24","F","Yes",4
"C21137","1955-06-02","F","Yes",4
"C21138","1963-12-08","F","Yes",4
"C21139","1947-11-25","F","No",1
"C21140","1983-10-14","M","No",1
"C21141","1949-10-22","F","Yes",4
"C21142","1979-04-24","M","Yes",3
"C21143","1989-12-23","M","Yes",4
"C21144","1984-02-16","M","Yes",4
"C21145","1948-12-20","M","Yes",4
"C21146","1979-07-11","M","No",1
"C21147","1974-07-16","F","Yes",3
"C21148","1987-09-25","M","Yes",4
"C21149","1970-07-16","M","Yes",4
"C21150","1940-07-21","M","Yes",4
"C21151","1984-02-25","F","Yes",3
"C21152","1961-03-21","F","Yes",4
"C21153","1950-10-24","F","Yes",4
"C21154","1939-05-24","F","Yes",4
"C21155","1993-11-21","M","Yes",3
"C21156","1981-11-11","M","Yes",4
"C21157","1968-07-24","F","Yes",3
"C21158","1970-03-14","M","Yes",4
"C21159","1985-10-19","M","Yes",4
"C21160","1977-07-05","M","Yes",3
"C21161","1976-07-17","F","Yes",3
"C21162","1993-04-06","M","No",1
"C21163","1983-03-09","M","Yes",4
"C21164","1976-07-02","F","Yes",4
"C21165","1969-08-20","M","Yes",4
"C21166","1993-02-27","F","Yes",3
"C21167","1968-03-18","F","Yes",4
"C21168","1955-09-18","F","Yes",4
"C21169","1967-09-24","M","Yes",4
"C21170","1950-08-21","M","Yes",4
"C21171","1986-10-20","F","Yes",4
"C21172","1988-12-12","F","No",1
"C21173","1972-06-01","M","Yes",4
"C21174","1971-01-23","M","Yes",4
"C21175","1972-05-21","F","Yes",4
"C21176","1947-04-16","F","Yes",4
"C21177","1975-10-01","F","Yes",3
"C21178","1976-03-06","M","Yes",3
"C21179","1974-12-23","M","Yes",4
"C21180","1933-04-16","F","Yes",4
"C21181","1980-11-28","M","Yes",4
"C21182","1993-05-25","M","Yes",3
"C21183","1968-10-06","M","Yes",3
"C21184","1976-06-27","F","Yes",3
"C21185","1969-01-23","M","Yes",4
"C21186","1968-11-20","F","Yes",4
"C21187","1940-05-04","M","Yes",4
"C21188","1962-02-12","F","Yes",4
"C21189","1983-02-12","F","Yes",4
"C21190","1947-06-28","F","Yes",4
"C21191","1943-12-24","F","Yes",4
"C21192","1969-08-28","F","Yes",4
"C21193","1971-01-28","F","Yes",3
"C21194","1979-01-04","F","Yes",4
"C21195","1964-02-17","F","Yes",3
"C21196","1972-04-02","F","Yes",4
"C21197","1973-12-19","F","Yes",4
"C21198","1950-11-03","F","Yes",4
"C21199","1979-02-11","M","Yes",4
"C21200","1955-04-05","F","Yes",4
"C21201","1968-04-11","F","Yes",4
"C21202","1959-02-03","M","Yes",4
"C21203","1994-01-22","M","Yes",3
"C21204","1980-03-01","M","Yes",4
"C21205","1998-11-17","F","Yes",2
"C21206","1978-08-03","M","Yes",4
"C21207","1972-11-14","M","Yes",3
"C21208","1978-03-06","M","Yes",4
"C21209","1969-11-03","F","Yes",4
"C21210","1994-09-22","M","Yes",3
"C21211","1968-11-10","M","Yes",4
"C21212","2000-07-23","M","Yes",2
"C21213","1989-01-21","F","Yes",4
"C21214","1973-03-01","F","Yes",4
"C21215","1996-05-13","M","Yes",3
"C21216","1981-06-18","M","Yes",4
"C21217","1981-08-19","M","Yes",4
"C21218","1994-10-07","F","Yes",3
"C21219","1977-07-04","M","Yes",3
"C21220","1996-05-19","F","Yes",3
"C21221","1999-07-06","F","Yes",2
"C21222","1982-12-14","M","Yes",4
"C21223","1998-09-01","F","Yes",2
"C21224","1936-08-05","M","Yes",4
"C21225","1996-12-07","F","Yes",3
"C21226","1997-10-06","F","Yes",3
"C21227","1979-01-23","F","Yes",4
"C21228","1970-01-04","M","Yes",4
"C21229","1934-03-25","F","Yes",4
"C21230","1936-11-19","M","Yes",4
"C21231","1989-09-08","F","Yes",4
"C21232","1975-02-23","F","Yes",3
"C21233","1993-08-11","M","Yes",3
"C21234","1970-03-21","F","Yes",4
"C21235","1949-03-27","M","Yes",4
"C21236","1991-09-09","F","Yes",4
"C21237","1988-10-17","M","Yes",4
"C21238","1972-11-03","F","Yes",4
"C21239","1993-06-17","M","Yes",3
"C21240","1974-07-05","F","Yes",4
"C21241","1947-05-24","F","Yes",4
"C21242","1952-02-07","F","Yes",4
"C21243","1933-09-17","F","Yes",4
"C21244","1952-05-20","F","No",1
"C21245","1950-02-24","F","Yes",4
"C21246","1976-03-23","M","Yes",4
"C21247","1973-04-23","F","Yes",4
"C21248","1974-05-03","M","Yes",4
"C21249","1937-03-08","M","Yes",4
"C21250","1976-09-16","M","Yes",4
"C21251","1957-09-11","M","Yes",4
"C21252","1951-09-15","F","Yes",4
"C21253","1986-02-04","M","Yes",4
"C21254","1984-01-24","F","No",1
"C21255","1935-04-28","F","Yes",3
"C21256","1993-09-17","M","Yes",3
"C21257","1992-01-03","M","Yes",3
"C21258","1976-10-21","M","Yes",4
"C21259","1976-03-07","M","No",1
"C21260","1985-01-16","F","Yes",3
"C21261","1957-05-02","M","Yes",4
"C21262","1984-09-13","M","Yes",4
"C21263","1988-04-13","M","Yes",3
"C21264","1963-11-27","F","Yes",4
"C21265","1983-06-26","M","Yes",4
"C21266","1973-01-11","F","Yes",4
"C21267","1988-03-23","F","Yes",4
"C21268","1960-07-10","M","Yes",4
"C21269","1957-08-27","F","Yes",4
"C21270","1993-04-02","M","Yes",3
"C21271","1977-03-03","F","Yes",4
"C21272","1971-03-24","M","Yes",4
"C21273","1967-08-23","F","Yes",4
"C21274","1936-01-12","M","Yes",4
"C21275","1941-01-22","M","Yes",4
"C21276","1990-03-18","F","Yes",3
"C21277","1993-01-20","F","Yes",3
"C21278","1989-06-04","M","Yes",4
"C21279","2000-08-19","F","Yes",2
"C21280","1982-04-15","F","Yes",4
"C21281","1970-10-08","F","Yes",4
"C21282","1945-05-03","F","Yes",4
"C21283","1975-10-27","M","Yes",3
"C21284","1996-12-26","M","Yes",2
"C21285","1990-07-15","F","Yes",3
"C21286","1982-11-16","F","Yes",4
"C21287","1973-09-13","M","Yes",4
"C21288","1990-04-24","F","Yes",4
"C21289","1982-09-19","M","Yes",4
"C21290","1990-05-17","M","Yes",3
"C21291","1982-05-12","F","Yes",4
"C21292","1982-07-27","F","Yes",4
"C21293","1979-11-28","M","Yes",4
"C21294","1962-06-21","F","No",1
"C21295","1977-02-20","M","Yes",4
"C21296","1974-06-22","F","Yes",4
"C21297","1973-10-21","M","Yes",4
"C21298","1994-05-14","M","Yes",3
"C21299","1977-11-26","M","Yes",3
"C21300","1969-03-02","F","Yes",3
"C21301","1987-06-05","M","Yes",3
"C21302","1942-04-27","F","Yes",4
"C21303","1977-03-26","F","Yes",4
"C21304","1981-09-15","F","Yes",4
"C21305","1987-02-20","F","Yes",4
"C21306","1940-11-10","M","Yes",4
"C21307","1942-05-04","M","Yes",4
"C21308","1963-02-25","M","Yes",4
"C21309","1974-07-20","F","Yes",4
"C21310","1944-09-02","F","Yes",4
"C21311","1953-06-05","F","Yes",4
"C21312","1968-06-16","M","Yes",4
"C21313","1999-06-02","F","Yes",2
"C21314","1977-03-16","F","Yes",4
"C21315","1946-09-15","M","Yes",4
"C21316","1982-10-16","M","Yes",3
"C21317","1948-07-23","F","Yes",4
"C21318","1982-09-19","F","No",1
"C21319","1992-10-23","M","Yes",3
"C21320","1981-12-17","F","Yes",3
"C21321","1970-01-19","F","Yes",3
"C21322","1975-11-17","F","Yes",4
"C21323","1987-08-04","M","Yes",4
"C21324","1989-09-01","F","Yes",4
"C21325","1943-01-16","M","Yes",4
"C21326","1983-05-19","M","Yes",4
"C21327","1980-01-07","M","Yes",3
"C21328","1984-11-09","M","Yes",4
"C21329","1963-06-07","F","No",1
"C21330","1980-02-12","F","Yes",3
"C21331","1995-07-10","F","Yes",3
"C21332","1988-06-02","F","Yes",4
"C21333","1982-07-12","F","Yes",4
"C21334","1986-08-16","F","Yes",3
"C21335","1961-11-21","M","Yes",4
"C21336","1978-05-26","M","Yes",4
"C21337","1980-01-25","F","Yes",3
"C21338","1973-08-15","M","Yes",3
"C21339","1985-08-05","F","Yes",4
"C21340","1967-09-04","F","No",1
"C21341","1968-02-26","F","Yes",4
"C21342","1990-02-24","F","Yes",4
"C21343","1940-02-13","M","Yes",4
"C21344","1998-09-08","F","Yes",2
"C21345","1969-08-02","M","Yes",4
"C21346","1989-12-18","M","Yes",4
"C21347","1988-04-01","F","Yes",4
"C21348","1935-11-02","M","Yes",4
"C21349","1969-02-04","M","Yes",4
"C21350","1936-03-24","F","No",1
"C21351","1968-04-19","F","Yes",4
"C21352","1958-06-21","F","Yes",4
"C21353","2000-01-11","M","Yes",2
"C21354","1996-04-09","F","Yes",3
"C21355","1979-09-27","M","Yes",3
"C21356","1978-09-07","M","Yes",4
"C21357","1962-11-09","M","Yes",4
"C21358","1987-10-15","M","No",1
"C21359","1953-06-16","M","Yes",4
"C21360","1954-05-16","M","Yes",4
"C21361","1991-05-22","F","Yes",4
"C21362","1972-03-04","M","Yes",3
"C21363","1988-10-05","F","Yes",4
"C21364","1981-04-02","F","Yes",4
"C21365","1993-03-26","M","Yes",3
"C21366","1991-03-03","M","Yes",3
"C21367","1950-06-28","F","Yes",4
"C21368","1979-08-27","M","Yes",4
"C21369","1954-11-21","M","Yes",4
"C21370","1979-09-07","F","Yes",4
"C21371","1993-09-22","M","Yes",3
"C21372","1991-08-12","M","Yes",3
"C21373","1971-07-26","F","Yes",4
"C21374","1984-03-03","M","Yes",4
"C21375","1955-02-07","F","Yes",4
"C21376","1996-08-04","F","Yes",3
"C21377","1965-11-06","F","Yes",4
"C21378","1973-12-01","M","Yes",3
"C21379","1996-02-09","F","Yes",3
"C21380","1969-12-01","F","Yes",4
"C21381","1984-03-09","F","Yes",4
"C21382","1971-05-28","F","Yes",4
"C21383","1979-11-12","F","Yes",4
"C21384","1945-10-20","F","Yes",4
"C21385","1951-08-06","M","Yes",4
"C21386","1981-07-10","F","Yes",4
"C21387","1974-09-07","M","Yes",4
"C21388","1972-07-23","F","Yes",3
"C21389","1975-04-28","M","Yes",4
"C21390","1991-03-18","F","Yes",4
"C21391","1976-01-08","M","Yes",4
"C21392","1982-04-03","M","Yes",4
"C21393","1949-01-18","F","No",1
"C21394","1978-11-01","F","Yes",4
"C21395","1999-06-28","F","No",1
"C21396","1963-10-17","F","Yes",3
"C21397","1979-05-06","F","Yes",4
"C21398","1977-07-03","M","Yes",3
"C21399","1958-04-16","F","Yes",4
"C21400","1983-07-17","F","Yes",4
"C21401","1951-03-10","F","Yes",4
"C21402","1933-12-06","F","Yes",4
"C21403","1967-08-14","M","Yes",4
"C21404","1994-06-08","F","Yes",3
"C21405","1948-04-25","M","No",1
"C21406","1954-12-08","F","Yes",4
"C21407","1984-03-17","M","Yes",4
"C21408","1994-02-21","F","Yes",3
"C21409","1955-11-11","F","Yes",4
"C21410","1961-08-27","F","Yes",4
"C21411","1977-03-06","M","Yes",2
"C21412","1973-12-07","F","Yes",4
"C21413","1989-07-16","M","Yes",4
"C21414","1991-11-25","M","Yes",3
"C21415","1938-06-26","F","Yes",4
"C21416","1944-06-24","M","Yes",4
"C21417","1976-02-28","F","Yes",4
"C21418","1969-06-01","F","Yes",4
"C21419","1947-12-07","F","No",1
"C21420","1999-08-26","M","Yes",2
"C21421","1996-02-25","F","Yes",2
"C21422","1962-03-03","M","Yes",4
"C21423","1953-11-02","F","Yes",4
"C21424","1969-08-07","M","Yes",4
"C21425","1936-01-01","M","Yes",4
"C21426","1992-08-06","M","Yes",3
"C21427","1934-03-01","F","Yes",4
"C21428","1969-06-20","F","Yes",4
"C21429","1989-05-26","M","Yes",4
"C21430","1986-09-24","F","Yes",4
"C21431","1953-01-09","F","Yes",3
"C21432","1936-03-24","M","Yes",4
"C21433","1969-02-14","F","Yes",4
"C21434","1956-11-06","F","Yes",4
"C21435","1984-03-28","F","Yes",4
"C21436","1991-03-02","M","Yes",3
"C21437","1969-01-27","F","Yes",4
"C21438","1944-02-22","F","Yes",4
"C21439","1986-05-28","F","Yes",3
"C21440","1984-09-09","F","Yes",4
"C21441","1963-07-07","F","Yes",4
"C21442","1966-08-24","F","Yes",4
"C21443","1999-06-17","M","Yes",2
"C21444","1981-02-16","F","Yes",4
"C21445","1987-01-23","F","Yes",4
"C21446","1976-01-01","F","Yes",4
"C21447","1999-02-02","M","Yes",2
"C21448","1938-12-17","M","Yes",4
"C21449","1965-02-09","M","Yes",4
"C21450","1977-05-12","F","Yes",4
"C21451","1943-09-10","F","Yes",4
"C21452","1984-11-08","F","Yes",4
"C21453","1975-04-23","F","Yes",4
"C21454","1953-02-28","F","Yes",4
"C21455","1945-01-06","M","Yes",3
"C21456","1976-02-03","M","Yes",4
"C21457","1961-05-16","M","Yes",4
"C21458","1974-11-12","M","Yes",4
"C21459","1992-04-12","F","Yes",4
"C21460","1980-12-06","F","Yes",4
"C21461","1956-12-27","M","Yes",2
"C21462","1954-10-15","F","Yes",4
"C21463","1953-04-21","M","Yes",4
"C21464","1979-02-15","F","Yes",4
"C21465","1963-07-27","M","Yes",4
"C21466","1971-01-03","F","Yes",2
"C21467","1936-11-14","M","Yes",4
"C21468","1985-04-24","M","Yes",4
"C21469","1993-04-05","F","Yes",2
"C21470","1956-04-09","F","Yes",4
"C21471","1989-12-10","F","Yes",2
"C21472","1953-09-06","F","Yes",2
"C21473","1943-03-26","M","Yes",4
"C21474","1998-05-03","F","Yes",2
"C21475","1999-01-13","F","Yes",2
"C21476","1998-02-09","F","Yes",2
"C21477","1978-06-18","M","Yes",4
"C21478","1988-09-28","F","Yes",2
"C21479","1958-09-08","F","Yes",4
"C21480","1948-06-14","M","Yes",4
"C21481","1959-10-03","M","No",1
"C21482","1973-09-24","F","Yes",4
"C21483","1993-03-08","M","Yes",2
"C21484","1980-02-07","F","Yes",4
"C21485","1991-10-28","F","Yes",2
"C21486","1984-09-12","M","Yes",4
"C21487","1993-08-12","M","Yes",2
"C21488","1983-02-05","M","Yes",4
"C21489","1990-09-17","M","Yes",2
"C21490","1943-01-11","F","Yes",4
"C21491","1970-10-04","M","Yes",4
"C21492","1955-11-15","F","Yes",4
"C21493","1975-10-08","F","Yes",4
"C21494","1971-12-26","F","Yes",4
"C21495","1939-04-28","M","Yes",4
"C21496","1991-08-26","F","Yes",4
"C21497","1984-07-13","F","Yes",4
"C21498","1987-04-03","M","Yes",2
"C21499","1984-05-18","F","Yes",4
"C21500","1974-07-09","M","Yes",2
"C21501","1960-05-18","M","Yes",4
"C21502","1982-11-18","F","Yes",4
"C21503","1990-02-24","M","Yes",2
"C21504","1987-05-13","F","Yes",4
"C21505","1957-06-28","M","Yes",4
"C21506","1996-11-13","M","Yes",2
"C21507","1937-02-03","M","Yes",4
"C21508","1945-02-10","F","Yes",4
"C21509","1987-01-14","F","Yes",4
"C21510","1961-11-13","F","Yes",4
"C21511","1990-06-19","M","Yes",3
"C21512","1968-06-12","F","Yes",4
"C21513","1952-12-20","M","Yes",4
"C21514","1949-01-28","M","Yes",4
"C21515","1986-11-15","F","No",1
"C21516","1948-06-12","F","Yes",4
"C21517","1969-01-12","F","Yes",4
"C21518","1951-05-25","F","Yes",4
"C21519","1954-06-21","F","Yes",4
"C21520","1983-02-20","F","Yes",4
"C21521","1981-02-06","M","Yes",4
"C21522","1997-11-01","M","Yes",2
"C21523","1993-11-20","M","Yes",2
"C21524","1986-03-19","M","Yes",4
"C21525","1971-07-05","M","Yes",2
"C21526","1997-06-23","F","Yes",3
"C21527","1997-11-02","F","Yes",3
"C21528","1947-12-18","M","Yes",4
"C21529","1950-05-21","F","Yes",4
"C21530","1992-06-01","F","Yes",4
"C21531","1983-02-11","F","Yes",4
"C21532","1985-11-24","F","Yes",4
"C21533","1972-08-28","M","Yes",4
"C21534","1967-04-01","M","Yes",4
"C21535","1984-07-09","M","Yes",4
"C21536","1986-09-05","F","Yes",4
"C21537","1991-11-04","F","Yes",2
"C21538","1957-06-01","F","Yes",4
"C21539","1995-02-10","M","Yes",2
"C21540","1981-01-05","M","Yes",4
"C21541","1972-11-15","M","Yes",4
"C21542","1974-01-22","M","Yes",4
"C21543","1935-11-10","F","Yes",4
"C21544","1954-09-07","F","Yes",4
"C21545","1949-09-05","F","Yes",4
"C21546","1993-01-15","M","Yes",3
"C21547","1978-06-27","F","Yes",4
"C21548","1938-02-25","F","Yes",4
"C21549","1997-07-28","F","Yes",3
"C21550","1946-12-10","F","Yes",2
"C21551","1995-10-20","M","Yes",2
"C21552","1978-01-07","F","Yes",4
"C21553","1981-06-09","F","Yes",2
"C21554","1972-08-16","M","Yes",4
"C21555","1974-11-22","F","Yes",4
"C21556","1989-06-25","M","No",1
"C21557","1973-06-16","F","Yes",4
"C21558","1968-01-21","M","Yes",4
"C21559","1973-09-14","F","Yes",4
"C21560","2000-08-05","F","Yes",2
"C21561","1992-05-16","F","Yes",4
"C21562","1979-02-09","F","Yes",4
"C21563","1996-04-06","M","Yes",2
"C21564","1949-11-01","M","Yes",2
"C21565","1934-11-17","M","Yes",2
"C21566","1991-12-21","F","Yes",4
"C21567","1994-01-15","F","Yes",3
"C21568","1981-12-28","M","Yes",4
"C21569","1976-03-26","M","Yes",4
"C21570","1985-06-26","F","Yes",4
"C21571","1946-05-25","M","Yes",4
"C21572","1972-01-05","F","Yes",4
"C21573","1987-05-03","M","Yes",4
"C21574","1963-02-18","M","No",1
"C21575","1977-10-06","M","Yes",4
"C21576","1955-01-22","M","No",1
"C21577","1992-10-03","F","Yes",4
"C21578","1937-03-12","F","Yes",4
"C21579","1948-05-01","M","Yes",4
"C21580","2000-02-09","M","Yes",2
"C21581","1981-12-25","M","Yes",4
"C21582","1979-11-19","F","Yes",4
"C21583","1975-03-12","F","Yes",4
"C21584","1987-08-01","M","Yes",4
"C21585","1989-01-17","F","Yes",4
"C21586","1933-04-04","M","Yes",4
"C21587","1938-11-18","M","Yes",4
"C21588","1996-02-12","F","Yes",2
"C21589","1957-10-08","M","Yes",4
"C21590","1969-02-14","M","Yes",4
"C21591","1957-09-23","F","Yes",4
"C21592","1992-09-19","F","Yes",4
"C21593","1943-01-05","F","Yes",4
"C21594","1956-05-25","F","Yes",4
"C21595","1948-07-12","F","Yes",4
"C21596","1968-12-22","M","Yes",2
"C21597","1986-05-12","M","Yes",4
"C21598","1974-08-27","M","Yes",4
"C21599","1984-02-17","M","Yes",4
"C21600","1969-11-17","M","Yes",2
"C21601","1941-08-23","F","Yes",4
"C21602","1946-04-17","M","Yes",4
"C21603","1988-04-19","F","Yes",4
"C21604","1969-11-28","F","Yes",4
"C21605","1968-10-08","M","Yes",4
"C21606","1983-06-21","M","Yes",4
"C21607","1955-10-23","M","Yes",4
"C21608","1940-04-24","F","No",1
"C21609","1997-04-28","F","Yes",2
"C21610","1949-03-25","M","Yes",4
"C21611","1993-04-15","F","Yes",3
"C21612","1983-11-11","F","Yes",4
"C21613","1957-03-10","M","Yes",4
"C21614","2000-05-08","M","Yes",2
"C21615","1958-09-22","M","Yes",4
